Tests,Sum of 15,Ave RMSE of 15 mins,"RMSE 15 OFF, 15 OFF","RMSE 15 OFF, 15 ON","RMSE 15 ON, 15 ON","RMSE 15 ON, 15 OFF",Total Tests Used,Average RMSE
155,15,0.0845490819722002,,,,,,
156,15,0.0843180191561871,,,0.168867101128387,,,
157,15,0.0841092134267166,,,,,,
158,6,0.0841841591658879,,,,,,
159,0,0.0845783893758672,0.168762548541755,,,0.168687602802584,,
160,0,0.0856335324643941,,,,,,
161,0,0.0863268868923773,0.171960419356771,,,,,
162,0,0.086074258871424,,,,,,
163,0,0.0858425441419435,0.171916803013367,,,,,
164,0,0.0861981512144482,,,,,,
165,0,0.0870988624776593,0.173297013692108,,,,,
166,0,0.0868383601612072,,,,,,
167,0,0.0865801130255032,0.17341847318671,,,,,
168,0,0.0863254974483925,,,,,,
169,0,0.0876526292778994,0.173978126726292,,,,,
170,0,0.0874570899337846,,,,,,
171,0,0.0872060775416318,0.174663167475416,,,,,
172,0,0.0869575589167618,,,,,,
173,0,0.0867117953722109,0.173669354288973,,,,,
174,0,0.086469505403337,,,,,,
175,0,0.0862291107885071,0.172698616191844,,,,,
176,0,0.0859901962018046,,,,,,
177,0,0.0857543590220383,0.171744555223843,,,,,
178,0,0.0855209247277778,,,,,,
179,0,0.0852910547923948,0.170811979520173,,,,,
180,0,0.0850624583781851,,,,,,
181,0,0.0848370445600287,0.169899502938214,,,,,
182,0,0.084610573984929,,,,,,
183,0,0.0843869455115021,0.168997519496431,,,,,
184,0,0.084164250637443,,,,,,
185,0,0.0839424232881573,0.1681066739256,,,,,
186,0,0.0837268810258554,,,,,,
187,0,0.0835099994566641,0.167236880482519,,,,,
188,0,0.0832966518645824,,,,,,
189,0,0.0830837976740106,0.166380449538593,,,,,
190,0,0.0828721342145431,,,,,,
191,0,0.082664128344167,0.16553626255871,,,,,
192,0,0.0825426089545265,,,,,,
193,0,0.084751208525386,0.167293817479913,,,,,
194,0,0.0849143628616673,,,,,,
195,0,0.084704114528347,0.169618477390014,,,,,
196,0,0.086156687602829,,,,,,
197,0,0.0863301103042511,0.17248679790708,,,,,
198,0,0.0861235927042174,,,,,,
199,0,0.0859161560859135,0.172039748790131,,,,,
200,0,0.085711531596161,,,,,,
201,0,0.0855106253149054,0.171222156911066,,,,,
202,0,0.0853075389364436,,,,,,
203,0,0.0851066833823113,0.170414222318755,,,,,
204,0,0.0849067148374486,,,,,,
205,0,0.0847083001876817,0.16961501502513,,,,,
206,0,0.0845111465067518,,,,,,
207,0,0.0843157426737175,0.168826889180469,,,,,
208,0,0.084121902311613,,,,,,
209,0,0.083944842369111,0.168066744680724,,,,,
210,0,0.0838069261407564,,,,,,
211,0,0.0849109948225329,0.168717920963289,,,,,
212,0,0.0847156686186662,,,,,,
213,0,0.0845213935538373,0.169237062172503,,,,,
214,0,0.0843279677650335,,,,,,
215,0,0.0841356694229967,0.16846363718803,,,,,
216,2,0.0841644257842821,,,,,,
217,15,0.0850625447599189,,0.169198214182916,,,,
218,15,0.0862239867485625,,,0.171286531508481,,,
219,15,0.0862881669895798,,,,,,
220,15,0.0861246641824113,,,0.172412831171991,,,
221,15,0.0859586334375649,,,,,,
222,15,0.0857858561984852,,,0.17174448963605,,,
223,15,0.0856135393587758,,,,,,
224,15,0.0854442919345044,,,0.17105783129328,,,
225,15,0.0852800406504566,,,,,,
226,15,0.0851268986955753,,,0.170406939346032,,,
227,15,0.0849667572581749,,,,,,
228,15,0.0848115355270279,,,0.169778292785203,,,
229,15,0.0846490298112545,,,,,,
230,15,0.084488967660259,,,0.169137997471514,,,
231,15,0.0843386892401699,,,,,,
232,7,0.0847404739893757,,,,,,
233,0,0.0854199865731375,,,,0.169758675813307,,
234,0,0.0854839936112988,0.170903980184436,,,,,
235,0,0.0860145813583923,,,,,,
236,0,0.0858481222514156,0.171862703609808,,,,,
237,12,0.0858867242434781,,,,,,
238,15,0.0863466960371763,,0.172194818288592,,,,
239,15,0.0864990474055238,,,0.1728457434427,,,
240,15,0.0871485393096043,,,,,,
241,15,0.0873257198742753,,,0.17447425918388,,,
242,15,0.0871639033606644,,,,,,
243,15,0.0870082818206283,,,0.174172185181293,,,
244,15,0.0868562459200925,,,,,,
245,15,0.0867100125678999,,,0.173566258487992,,,
246,15,0.0865613899635366,,,,,,
247,15,0.0864128374754875,,,0.172974227439024,,,
248,15,0.0862650179029501,,,,,,
249,15,0.0861216522549231,,,0.172386670157873,,,
250,15,0.0860168319705213,,,,,,
251,0,0.0864399667924579,,,,0.172456798762979,,
252,0,0.0863808553755551,0.172820822168013,,,,,
